MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp,,,,
81,110.796,6.3891E+17,6.3891E+17,,,,
82,112.052,6.3891E+17,6.3891E+17,,,,
83,113.368,6.3891E+17,6.3891E+17,,,,
84,114.863,6.3891E+17,6.3891E+17,,,,
85,115.966,6.3891E+17,6.3891E+17,,,,
86,116.978,6.3891E+17,6.3891E+17,,,,
87,118.359,6.3891E+17,6.3891E+17,,,,
88,119.646,6.3891E+17,6.3891E+17,,,,
89,121.059,6.3891E+17,6.3891E+17,,,,
90,122.22,6.3891E+17,6.3891E+17,,,,
91,123.269,6.3891E+17,6.3891E+17,,,,
92,124.605,6.3891E+17,6.3891E+17,,,,
93,125.737,6.3891E+17,6.3891E+17,,,,
94,126.93,6.3891E+17,6.3891E+17,,,,
95,128.06,6.3891E+17,6.3891E+17,,,,
96,129.32,6.3891E+17,6.3891E+17,,,,
97,130.327,6.3891E+17,6.3891E+17,,,,
98,131.455,6.3891E+17,6.3891E+17,,,,
99,132.951,6.3891E+17,6.3891E+17,,,,
100,134.081,6.3891E+17,6.3891E+17,,,,
101,158.621,6.3891E+17,6.3891E+17,,,,
102,158.621,6.3891E+17,6.3891E+17,,,,
103,160.112,6.3891E+17,6.3891E+17,,,,
104,162.532,6.3891E+17,6.3891E+17,,,,
105,162.532,6.3891E+17,6.3891E+17,,,,
106,163.922,6.3891E+17,6.3891E+17,,,,
107,165.315,6.3891E+17,6.3891E+17,,,,
108,166.549,6.3891E+17,6.3891E+17,,,,
109,167.722,6.3891E+17,6.3891E+17,,,,
110,168.861,6.3891E+17,6.3891E+17,,,,
111,170.351,6.3891E+17,6.3891E+17,,,,
112,170.351,6.3891E+17,6.3891E+17,,,,
113,171.838,6.3891E+17,6.3891E+17,,,,
114,173.075,6.3891E+17,6.3891E+17,,,,
115,174.468,6.3891E+17,6.3891E+17,,,,
116,175.835,6.3891E+17,6.3891E+17,,,,
117,177.331,6.3891E+17,6.3891E+17,,,,
118,177.331,6.3891E+17,6.3891E+17,,,,
