MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp,,,
341,0,6.39E+17,6.39E+17,,,
342,0,6.39E+17,6.39E+17,,,
343,0,6.39E+17,6.39E+17,,,
344,0,6.39E+17,6.39E+17,,,
345,0,6.39E+17,6.39E+17,,,
346,3.446,6.39E+17,6.39E+17,,,
347,0,6.39E+17,6.39E+17,,,
348,0,6.39E+17,6.39E+17,,,
349,1.503,6.39E+17,6.39E+17,,,
350,0,6.39E+17,6.39E+17,,,
351,0,6.39E+17,6.39E+17,,,
352,1.228,6.39E+17,6.39E+17,,,
353,0,6.39E+17,6.39E+17,,,
354,0,6.39E+17,6.39E+17,,,
355,0,6.39E+17,6.39E+17,,,
356,1.005,6.39E+17,6.39E+17,,,
357,1.012,6.39E+17,6.39E+17,,,
358,1.13,6.39E+17,6.39E+17,,,
359,0,6.39E+17,6.39E+17,,,
360,1.003,6.39E+17,6.39E+17,,,
361,0,6.39E+17,6.39E+17,,,
362,0,6.39E+17,6.39E+17,,,
363,1.364,6.39E+17,6.39E+17,,,
364,0,6.39E+17,6.39E+17,,,
365,0,6.39E+17,6.39E+17,,,
366,0,6.39E+17,6.39E+17,,,
367,0,6.39E+17,6.39E+17,,,
368,0,6.39E+17,6.39E+17,,,
369,1.477,6.39E+17,6.39E+17,,,
370,1.099,6.39E+17,6.39E+17,,,
371,1.065,6.39E+17,6.39E+17,,,
372,0,6.39E+17,6.39E+17,,,
373,1.387,6.39E+17,6.39E+17,,,
374,0,6.39E+17,6.39E+17,,,
375,0,6.39E+17,6.39E+17,,,
376,0,6.39E+17,6.39E+17,,,
377,0,6.39E+17,6.39E+17,,,
378,0,6.39E+17,6.39E+17,,,
379,0,6.39E+17,6.39E+17,,,
380,0,6.39E+17,6.39E+17,,,
381,0,6.39E+17,6.39E+17,,,
382,0,6.39E+17,6.39E+17,,,
383,0,6.39E+17,6.39E+17,,,
384,1.432,6.39E+17,6.39E+17,,,
385,0,6.39E+17,6.39E+17,,,
386,0,6.39E+17,6.39E+17,,,
387,0,6.39E+17,6.39E+17,,,
388,0,6.39E+17,6.39E+17,,,
389,0,6.39E+17,6.39E+17,,,
390,0,6.39E+17,6.39E+17,,,
391,0,6.39E+17,6.39E+17,,,
392,0,6.39E+17,6.39E+17,,,
393,0,6.39E+17,6.39E+17,,,
394,0,6.39E+17,6.39E+17,,,
395,1.509,6.39E+17,6.39E+17,,,
396,0,6.39E+17,6.39E+17,,,
397,6.095,6.39E+17,6.39E+17,,,
398,0,6.39E+17,6.39E+17,,,
399,1.183,6.39E+17,6.39E+17,,,
400,1.006,6.39E+17,6.39E+17,,,
401,0.521,6.39E+17,6.39E+17,,,
402,0.595,6.39E+17,6.39E+17,,,
403,0.795,6.39E+17,6.39E+17,,,
404,0.538,6.39E+17,6.39E+17,,,
405,0.535,6.39E+17,6.39E+17,,,
406,0.53,6.39E+17,6.39E+17,,,
407,0.516,6.39E+17,6.39E+17,,,
408,0,6.39E+17,6.39E+17,,,
409,0.535,6.39E+17,6.39E+17,,,
410,0.527,6.39E+17,6.39E+17,,,
411,1.07,6.39E+17,6.39E+17,,,
412,0,6.39E+17,6.39E+17,,,
413,0,6.39E+17,6.39E+17,,,
414,0.506,6.39E+17,6.39E+17,,,
415,0,6.39E+17,6.39E+17,,,
416,1.377,6.39E+17,6.39E+17,,,
417,1.323,6.39E+17,6.39E+17,,,
418,0.515,6.39E+17,6.39E+17,,,
419,0,6.39E+17,6.39E+17,,,
420,0.528,6.39E+17,6.39E+17,,,
421,0,6.39E+17,6.39E+17,,,
422,0.525,6.39E+17,6.39E+17,,,
423,0.522,6.39E+17,6.39E+17,,,
424,0.518,6.39E+17,6.39E+17,,,
425,0.533,6.39E+17,6.39E+17,,,
426,0.533,6.39E+17,6.39E+17,,,
427,0.537,6.39E+17,6.39E+17,,,
428,0.525,6.39E+17,6.39E+17,,,
429,0.535,6.39E+17,6.39E+17,,,
430,0,6.39E+17,6.39E+17,,,
431,0.534,6.39E+17,6.39E+17,,,
432,0.538,6.39E+17,6.39E+17,,,
433,0.52,6.39E+17,6.39E+17,,,
434,0.585,6.39E+17,6.39E+17,,,
435,0,6.39E+17,6.39E+17,,,
436,0.532,6.39E+17,6.39E+17,,,
437,1.059,6.39E+17,6.39E+17,,,
438,3.362,6.39E+17,6.39E+17,,,
439,0.555,6.39E+17,6.39E+17,,,
440,1.07,6.39E+17,6.39E+17,,,
441,0.366,6.39E+17,6.39E+17,,,
442,0.524,6.39E+17,6.39E+17,,,
443,0.548,6.39E+17,6.39E+17,,,
444,1.073,6.39E+17,6.39E+17,,,
445,1.039,6.39E+17,6.39E+17,,,
446,0.597,6.39E+17,6.39E+17,,,
447,0.55,6.39E+17,6.39E+17,,,
448,0.538,6.39E+17,6.39E+17,,,
