Id,SentTime,ReceivedTime,LatencyMs
1502,2025-08-07T11:54:39.1111124Z,2025-08-07T11:54:39.1121132Z,1.0008
1503,2025-08-07T11:54:39.1121132Z,2025-08-07T11:54:39.1121132Z,0.0000
1504,2025-08-07T11:54:39.1131122Z,2025-08-07T11:54:39.1131122Z,0.0000
1505,2025-08-07T11:54:39.1131122Z,2025-08-07T11:54:39.1131122Z,0.0000
1506,2025-08-07T11:54:39.1131122Z,2025-08-07T11:54:39.1131122Z,0.0000
1507,2025-08-07T11:54:39.1146176Z,2025-08-07T11:54:39.1146176Z,0.0000
1508,2025-08-07T11:54:39.1146176Z,2025-08-07T11:54:39.1146176Z,0.0000
1509,2025-08-07T11:54:39.1156254Z,2025-08-07T11:54:39.1156254Z,0.0000
1510,2025-08-07T11:54:39.1156254Z,2025-08-07T11:54:39.1156254Z,0.0000
1511,2025-08-07T11:54:39.1166316Z,2025-08-07T11:54:39.1166316Z,0.0000
1512,2025-08-07T11:54:39.1166316Z,2025-08-07T11:54:39.1166316Z,0.0000
1513,2025-08-07T11:54:39.1176788Z,2025-08-07T11:54:39.1176788Z,0.0000
1514,2025-08-07T11:54:39.1176788Z,2025-08-07T11:54:39.1186878Z,1.0090
1515,2025-08-07T11:54:39.1186878Z,2025-08-07T11:54:39.1186878Z,0.0000
1516,2025-08-07T11:54:39.1186878Z,2025-08-07T11:54:39.1196883Z,1.0005
1517,2025-08-07T11:54:39.1196883Z,2025-08-07T11:54:39.1196883Z,0.0000
1518,2025-08-07T11:54:39.1206883Z,2025-08-07T11:54:39.1206883Z,0.0000
1519,2025-08-07T11:54:39.1206883Z,2025-08-07T11:54:39.1206883Z,0.0000
1520,2025-08-07T11:54:39.1206883Z,2025-08-07T11:54:39.1206883Z,0.0000
1521,2025-08-07T11:54:39.1221009Z,2025-08-07T11:54:39.1221009Z,0.0000
1522,2025-08-07T11:54:39.1221009Z,2025-08-07T11:54:39.1221009Z,0.0000
1523,2025-08-07T11:54:39.1221009Z,2025-08-07T11:54:39.1221009Z,0.0000
1524,2025-08-07T11:54:39.1234927Z,2025-08-07T11:54:39.1234927Z,0.0000
1525,2025-08-07T11:54:39.1234927Z,2025-08-07T11:54:39.1234927Z,0.0000
1526,2025-08-07T11:54:39.1245156Z,2025-08-07T11:54:39.1245156Z,0.0000
1527,2025-08-07T11:54:39.1245156Z,2025-08-07T11:54:39.1255243Z,1.0087
1528,2025-08-07T11:54:39.1255243Z,2025-08-07T11:54:39.1255243Z,0.0000
1529,2025-08-07T11:54:39.1255243Z,2025-08-07T11:54:39.1255243Z,0.0000
1530,2025-08-07T11:54:39.1255243Z,2025-08-07T11:54:39.1267224Z,1.1981
1531,2025-08-07T11:54:39.1267224Z,2025-08-07T11:54:39.1267224Z,0.0000
