MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp,,,,
35,18.21,6.3891E+17,6.3891E+17,,,,
36,18.21,6.3891E+17,6.3891E+17,,,,
37,18.21,6.3891E+17,6.3891E+17,,,,
38,18.21,6.3891E+17,6.3891E+17,,,,
39,18.21,6.3891E+17,6.3891E+17,,,,
40,18.21,6.3891E+17,6.3891E+17,,,,
41,18.21,6.3891E+17,6.3891E+17,,,,
42,18.21,6.3891E+17,6.3891E+17,,,,
43,18.21,6.3891E+17,6.3891E+17,,,,
44,18.21,6.3891E+17,6.3891E+17,,,,
45,18.21,6.3891E+17,6.3891E+17,,,,
46,18.21,6.3891E+17,6.3891E+17,,,,
47,18.21,6.3891E+17,6.3891E+17,,,,
48,18.21,6.3891E+17,6.3891E+17,,,,
49,18.21,6.3891E+17,6.3891E+17,,,,
50,18.21,6.3891E+17,6.3891E+17,,,,
51,18.21,6.3891E+17,6.3891E+17,,,,
52,18.21,6.3891E+17,6.3891E+17,,,,
53,18.21,6.3891E+17,6.3891E+17,,,,
54,18.21,6.3891E+17,6.3891E+17,,,,
55,18.21,6.3891E+17,6.3891E+17,,,,
56,18.21,6.3891E+17,6.3891E+17,,,,
57,18.21,6.3891E+17,6.3891E+17,,,,
58,18.21,6.3891E+17,6.3891E+17,,,,
59,18.21,6.3891E+17,6.3891E+17,,,,
60,18.21,6.3891E+17,6.3891E+17,,,,
61,18.21,6.3891E+17,6.3891E+17,,,,
62,18.21,6.3891E+17,6.3891E+17,,,,
63,18.21,6.3891E+17,6.3891E+17,,,,
64,18.21,6.3891E+17,6.3891E+17,,,,
65,18.21,6.3891E+17,6.3891E+17,,,,
66,18.21,6.3891E+17,6.3891E+17,,,,
67,18.21,6.3891E+17,6.3891E+17,,,,
68,18.21,6.3891E+17,6.3891E+17,,,,
69,18.21,6.3891E+17,6.3891E+17,,,,
70,18.21,6.3891E+17,6.3891E+17,,,,
71,18.21,6.3891E+17,6.3891E+17,,,,
72,18.21,6.3891E+17,6.3891E+17,,,,
73,18.21,6.3891E+17,6.3891E+17,,,,
74,18.21,6.3891E+17,6.3891E+17,,,,
75,18.21,6.3891E+17,6.3891E+17,,,,
76,18.21,6.3891E+17,6.3891E+17,,,,
77,18.21,6.3891E+17,6.3891E+17,,,,
78,18.21,6.3891E+17,6.3891E+17,,,,
79,18.21,6.3891E+17,6.3891E+17,,,,
80,18.21,6.3891E+17,6.3891E+17,,,,
81,18.21,6.3891E+17,6.3891E+17,,,,
82,18.21,6.3891E+17,6.3891E+17,,,,
83,18.21,6.3891E+17,6.3891E+17,,,,
84,19.466,6.3891E+17,6.3891E+17,,,,
85,19.466,6.3891E+17,6.3891E+17,,,,
86,19.466,6.3891E+17,6.3891E+17,,,,
87,19.466,6.3891E+17,6.3891E+17,,,,
88,19.466,6.3891E+17,6.3891E+17,,,,
89,19.466,6.3891E+17,6.3891E+17,,,,
90,19.466,6.3891E+17,6.3891E+17,,,,
91,19.466,6.3891E+17,6.3891E+17,,,,
